appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,cleaned_title
102840,Shank 2,2012-02-07,1,Klei Entertainment,Klei Entertainment,windows;mac;linux,18,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Action;Beat 'em up;Indie,20,1707,373,297,256,500000-1000000,7.19,shank 2
102850,Warp,2012-03-21,1,Trapdoor Inc.,Electronic Arts,windows,18,Single-player;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,0,199,74,0,0,20000-50000,7.99,warp
104000,iBomber Defense,2011-05-26,1,Cobra Mobile,Cobra Mobile,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Indie;Strategy,Strategy;Tower Defense;Indie,22,148,51,112,112,50000-100000,2.99,ibomber defense
104020,Storm in a Teacup,2012-01-19,1,Cobra Mobile,Cobra Mobile,windows;mac,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;Platformer,19,91,38,0,0,20000-50000,2.99,storm in a teacup
104100,Inside a Star-filled Sky,2011-05-14,1,Jason Rohrer,Jason Rohrer,windows;mac,0,Single-player,Action;Strategy;Indie,Indie;Action;Strategy,0,53,24,0,0,0-20000,4.99,inside a star filled sky
104200,BEEP,2011-05-06,1,Big Fat Alien,Big Fat Alien,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Platformer;Adventure,0,4036,731,140,147,500000-1000000,1.59,beep
105000,A New Beginning - Final Cut,2012-12-11,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Point & Click;Indie,28,1000,314,101,186,200000-500000,7.99,a new beginning   final cut
105100,Lume,2011-05-09,1,State of Play Games,State of Play Games,windows;mac,0,Single-player,Adventure;Casual;Indie,Adventure;Indie;Point & Click,0,206,251,8,8,50000-100000,4.79,lume
105300,Critical Mass,2011-06-20,1,Manic Game Studios,Manic Game Studios,windows;mac,0,Single-player;Steam Achievements,Casual;Indie,Casual;Indie;Puzzle,27,293,77,0,0,100000-200000,1.59,critical mass
105420,Ms. Splosion Man,2013-04-03,1,Twisted Pixel Games,Microsoft Studios,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Platformer,12,167,49,0,0,50000-100000,6.99,ms  splosion man
105600,Terraria,2011-05-16,1,Re-Logic,Re-Logic,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Sandbox;Adventure;Survival,88,255600,7797,5585,1840,5000000-10000000,6.99,terraria
105700,Tobe's Vertical Adventure,2011-07-18,1,Secret Base,Secret Base,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Indie;Action;Adventure,13,80,50,17,17,50000-100000,0.79,tobe s vertical adventure
107100,Bastion,2011-08-16,1,Supergiant Games,Supergiant Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Great Soundtrack;Indie;Action,24,27887,1098,391,234,2000000-5000000,11.39,bastion
107200,Space Pirates and Zombies,2011-08-15,1,MinMax Games Ltd.,MinMax Games Ltd.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Action;Indie;RPG;Strategy,Space;Action;Indie,48,2315,202,225,282,500000-1000000,6.99,space pirates and zombies
107300,Breath of Death VII,2011-07-13,1,Zeboyd Games,Zeboyd Games,windows,0,Single-player;Full controller support,RPG;Indie,RPG;Indie;JRPG,0,994,187,30,26,500000-1000000,0.0,breath of death vii
107310,Cthulhu Saves the World,2011-07-13,1,Zeboyd Games,Zeboyd Games,windows,0,Single-player;Full controller support;Steam Trading Cards,Indie;RPG,RPG;Indie;Comedy,0,2868,222,351,388,500000-1000000,0.0,cthulhu saves the world
107410,Arma 3,2013-09-12,1,Bohemia Interactive,Bohemia Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor,Action;Simulation;Strategy,Simulation;Military;Multiplayer,104,105034,12524,18823,3621,2000000-5000000,29.99,arma 3
107600,Waves,2011-11-16,1,Squid In A Box Ltd,Squid In A Box Ltd,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie,Indie;Twin Stick Shooter;Action,54,974,60,11,11,100000-200000,3.99,waves
108110,Starpoint Gemini,2012-02-16,1,Little Green Men Games,Iceberg Interactive,windows,0,Single-player,RPG;Simulation,RPG;Simulation;Space,0,35,75,0,0,50000-100000,10.59,starpoint gemini
108200,Ticket to Ride,2012-05-24,1,Days of Wonder,Days of Wonder;Asmodee Digital,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Turn Notifications,Casual;Indie;Strategy,Board Game;Strategy;Multiplayer,83,1476,283,607,607,200000-500000,6.99,ticket to ride
108210,Memoir '44 Online,2011-10-12,1,Days of Wonder,Days of Wonder;Asmodee Digital,windows,0,Single-player;Multi-player;Steam Achievements,Casual;Simulation;Strategy,Strategy;Board Game;Casual,62,177,119,7,7,200000-500000,0.0,memoir  44 online
108500,Vessel,2012-03-01,1,Strange Loop Games,IndiePub,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie;Strategy,Puzzle;Indie;Platformer,20,540,70,21,25,200000-500000,14.99,vessel
108600,Project Zomboid,2013-11-08,1,The Indie Stone,The Indie Stone,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,Indie;RPG;Simulation;Early Access,Early Access;Survival;Zombies,0,17273,2606,658,701,500000-1000000,9.99,project zomboid
108700,Death Rally,2012-08-03,1,Remedy Entertainment;Mountain Sheep;Cornfox & Brothers,Remedy Entertainment,windows,0,Single-player;Multi-player;Co-op,Action;Racing,Racing;Action;Remake,87,376,158,0,0,50000-100000,6.99,death rally
108710,Alan Wake,2012-02-16,1,Remedy Entertainment,Remedy Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Horror;Adventure,67,22962,2163,239,228,2000000-5000000,11.39,alan wake
109200,Legend of Fae,2011-07-26,1,Endlessfluff Games,Endlessfluff Games,windows,0,Single-player,Casual;Indie,Indie;Casual;Female Protagonist,0,77,22,0,0,0-20000,6.99,legend of fae
109600,Neverwinter,2013-12-05,1,Cryptic Studios,Perfect World Entertainment,windows,0,Multi-player;MMO;Co-op;Steam Trading Cards;In-App Purchases;Includes level editor,Adventure;Free to Play;Massively Multiplayer;RPG,Free to Play;MMORPG;RPG,0,18517,5297,1273,543,5000000-10000000,0.0,neverwinter
109700,Achron,2011-08-29,1,Hazardous Software Inc.,Hazardous Software Inc.,windows,0,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Time Travel,18,54,32,0,0,20000-50000,14.99,achron
110400,inMomentum,2011-10-31,1,Digital Arrow,White Rabbit Interactive,windows,0,Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Indie;Racing,Racing;Indie;Parkour,37,117,40,0,0,50000-100000,6.99,inmomentum
110600,Astro Tripper,2011-09-15,1,PomPom,Pom Pom Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie,Indie;Action;Shoot 'Em Up,8,30,26,0,0,20000-50000,3.99,astro tripper
110610,Alien Zombie Megadeath,2011-10-18,1,PomPom,Pom Pom Games,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie,Action;Indie;Arcade,13,47,17,0,0,20000-50000,3.99,alien zombie megadeath
110800,L.A. Noire,2011-11-08,1,Team Bondi;Rockstar Leeds,Rockstar Games,windows,18,Single-player;Steam Achievements;Partial Controller Support,Adventure;Strategy,Detective;Crime;Open World,60,14096,2315,428,478,1000000-2000000,19.99,l a  noire
111000,The Clockwork Man,2011-08-10,1,Total Eclipse,Total Eclipse,windows;mac;linux,0,Single-player,Indie;Casual,Casual;Indie;Hidden Object,0,40,32,0,0,0-20000,4.99,the clockwork man
111100,Snuggle Truck,2012-02-03,1,Owlchemy Labs,Owlchemy Labs,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards;Includes level editor,Casual;Indie;Racing,Casual;Racing;Indie,11,363,81,199,199,100000-200000,3.99,snuggle truck
111400,Bunch of Heroes,2011-09-21,1,NGD Studios,NGD Studios,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Indie,Action;Indie;Co-op,59,180,206,27,29,100000-200000,3.99,bunch of heroes
111600,Serious Sam Double D XXL,2011-08-30,1,Mommy's Best Games,Devolver Digital;Croteam,windows,0,Single-player;Local Co-op;Steam Achievements;Partial Controller Support,Action;Indie,Action;Indie;Platformer,30,514,92,527,527,500000-1000000,6.99,serious sam double d xxl
113200,The Binding of Isaac,2011-09-28,1,Edmund McMillen and Florian Himsl,Edmund McMillen,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;RPG,Rogue-like;Indie;Replay Value,99,43227,1923,1849,567,2000000-5000000,3.99,the binding of isaac
113400,APB Reloaded,2011-12-06,1,Little Orbit,Little Orbit,windows,0,Multi-player;MMO;Steam Achievements,Action;Free to Play;Massively Multiplayer,Free to Play;Open World;Action,60,20028,11779,3835,302,5000000-10000000,0.0,apb reloaded
115100,Costume Quest,2011-10-14,1,Double Fine Productions,Double Fine Productions,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;RPG,RPG;Adventure;Comedy,21,2635,210,219,227,200000-500000,6.99,costume quest
115110,Stacking,2012-03-06,1,Double Fine Productions,Double Fine Productions,windows;mac;linux,0,Single-player;Partial Controller Support,Adventure;Indie,Adventure;Puzzle;Indie,21,1271,155,238,238,200000-500000,6.99,stacking
115120,Iron Brigade,2012-08-13,1,Double Fine Productions,Double Fine Productions,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Steam Leaderboards,Action;Strategy,Tower Defense;Action;Mechs,23,573,124,21,31,100000-200000,10.99,iron brigade
115210,American Conquest,2011-08-26,1,GSC Game World,GSC World Publishing,windows,0,Single-player,Strategy,Strategy;RTS;Historical,0,180,92,0,0,100000-200000,3.99,american conquest
115320,Prototype 2,2012-07-26,1,Radical Entertainment,Activision,windows,18,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Action;Open World;Gore,43,5411,2244,698,953,500000-1000000,19.99,prototype 2
116100,Super Toy Cars,2014-06-06,1,Eclipse Games,Eclipse Games,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Indie;Racing,Racing;Indie;Multiplayer,26,201,132,0,0,20000-50000,6.99,super toy cars
200010,Quantum Conundrum,2012-06-21,1,Airtight Games,Square Enix,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Casual;Strategy,Puzzle;First-Person;Comedy,25,1224,225,162,220,200000-500000,6.99,quantum conundrum
200130,Puzzler World 2,2011-10-24,1,Ideas Pad,Puzzler,windows,0,Single-player,Casual;Indie;Strategy,Casual;Indie;Strategy,17,150,44,61,61,20000-50000,4.99,puzzler world 2
200170,Worms Revolution,2012-10-10,1,Team17 Digital Ltd,Team17 Digital Ltd,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Strategy,Strategy;Multiplayer;Funny,34,3922,686,445,259,1000000-2000000,10.99,worms revolution
200210,Realm of the Mad God,2012-02-20,1,Wild Shadow Studios;Deca Games,Deca Games,windows;mac,0,Multi-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;Stats,Action;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;Pixel Graphics,31,23414,4728,3531,64,2000000-5000000,0.0,realm of the mad god
200230,Off-Road Drive,2011-09-29,1,1C-Avalon,1C Entertainment,windows,0,Single-player;Multi-player;Steam Cloud,Racing;Simulation,Simulation;Racing;Offroad,0,286,177,0,0,50000-100000,3.99,off road drive
200390,Oil Rush,2012-01-25,1,Unigine Corp.,Unigine Corp.,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Indie;Strategy,Strategy;Indie;RTS,40,173,170,9,9,200000-500000,5.59,oil rush
200490,Memento Mori,2012-11-09,1,Bohemia Interactive,Bohemia Interactive,windows,16,Single-player,Adventure,Adventure;Point & Click;Singleplayer,0,68,48,4,4,20000-50000,9.99,memento mori
200710,Torchlight II,2012-09-20,1,Runic Games,Runic Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Adventure;Indie;RPG,RPG;Action RPG;Hack and Slash,119,29539,1757,1037,508,2000000-5000000,14.99,torchlight ii
200900,Cave Story+,2011-11-22,1,"Nicalis, Inc.;Studio Pixel","Nicalis, Inc.",windows;linux,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Platformer;Metroidvania;Indie,75,5120,230,150,152,500000-1000000,10.99,cave story
200960,Geneforge 1,2001-12-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,268,17,0,0,100000-200000,0.0,geneforge 1
200980,Geneforge 2,2003-07-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,32,3,0,0,50000-100000,0.0,geneforge 2
200990,Geneforge 3,2005-04-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,26,4,0,0,50000-100000,0.0,geneforge 3
201070,Revelations 2012,2012-04-23,1,Dark Artz Entertainment,Dark Artz Entertainment,windows,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats,Action;Indie;Strategy,Action;Indie;Strategy,47,188,133,8,8,20000-50000,0.0,revelations 2012
201210,Pox Nora,2014-10-15,1,Desert Owl Games LLC,Desert Owl Games LLC,windows;mac,0,Single-player;Multi-player;Steam Trading Cards,Free to Play;RPG;Strategy,Free to Play;Strategy;RPG,0,384,148,2,2,200000-500000,0.0,pox nora
201230,EverQuest II,2011-12-07,1,Daybreak Game Company,Daybreak Game Company,windows,0,Multi-player;MMO,Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,0,846,319,548,604,500000-1000000,0.0,everquest ii
201420,Toki Tori 2+,2013-07-11,1,Two Tribes,Two Tribes,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Adventure;Casual;Indie,Indie;Puzzle;Casual,38,671,130,109,149,200000-500000,10.99,toki tori 2
201490,Airline Tycoon 2,2011-10-24,1,b-Alive,Kalypso Media Digital,windows,0,Single-player,Simulation;Strategy,Simulation;Strategy;Economy,0,61,386,0,0,50000-100000,6.99,airline tycoon 2
201570,Really Big Sky,2012-02-24,1,Boss Baddie,Ripstone,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Indie;Action;Shoot 'Em Up,20,1429,462,247,281,500000-1000000,3.99,really big sky
201790,Orcs Must Die! 2,2012-07-30,1,Robot Entertainment,Robot Entertainment,windows,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Tower Defense;Co-op;Action,27,13321,682,429,244,2000000-5000000,11.99,orcs must die  2
202130,Impire,2013-02-14,1,Cyanide Montreal,Paradox Interactive,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud,Strategy,Strategy;Fantasy;Villain Protagonist,48,167,208,76,76,100000-200000,14.99,impire
202410,Scoregasm,2012-02-08,1,RC Knight,Charlie's Games,windows;mac,0,Single-player;Steam Achievements;Stats,Action;Indie,Action;Indie;Twin Stick Shooter,19,107,22,17,17,50000-100000,3.99,scoregasm
202710,Demigod,2011-12-14,1,Gas Powered Games,Stardock Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op,Nudity;Violent;Action;RPG;Strategy,Strategy;MOBA;RPG,0,564,212,149,270,100000-200000,7.19,demigod
202730,Dynamite Jack,2012-05-10,1,"Hassey Enterprises, Inc.","Hassey Enterprises, Inc.",windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Includes level editor,Action;Adventure;Indie,Action;Indie;Adventure,13,345,56,9,9,100000-200000,7.19,dynamite jack
202750,Alan Wake's American Nightmare,2012-05-22,1,Remedy Entertainment,Remedy Entertainment,windows,0,Single-player;Full controller support,Action;Adventure,Action;Adventure;Horror,12,3598,1468,71,123,1000000-2000000,6.19,alan wake s american nightmare
203160,Tomb Raider,2013-03-04,1,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux),Square Enix;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,18,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Adventure;Action;Female Protagonist,50,93509,4103,527,475,5000000-10000000,14.99,tomb raider
203210,Titan Attacks!,2012-02-03,1,Puppygames,Puppygames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Indie;Arcade;Action,47,790,79,189,189,100000-200000,7.19,titan attacks
203630,Warlock - Master of the Arcane,2012-05-08,1,Ino-Co Plus,Paradox Interactive,windows,0,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Turn-Based Strategy;Fantasy,0,1811,293,115,136,500000-1000000,18.99,warlock   master of the arcane
203680,F1 RACE STARS™,2012-11-15,1,Codemasters Birmingham,Codemasters,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Racing,Racing;Arcade;Split Screen,64,689,215,42,61,100000-200000,10.99,f1 race stars
203750,Binary Domain,2012-04-26,1,Devil's Details,SEGA,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Action;Third-Person Shooter;Sci-fi,49,4416,742,639,1242,500000-1000000,9.99,binary domain
203770,Crusader Kings II,2012-02-14,1,Paradox Development Studio,Paradox Interactive,windows;mac;linux,0,Single-player;Multi-player;Steam Trading Cards,RPG;Simulation;Strategy,Grand Strategy;Strategy;Medieval,161,31668,4187,1366,272,2000000-5000000,29.99,crusader kings ii
203990,SATAZIUS,2011-12-16,1,ASTRO PORT,Nyu Media,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Shoot 'Em Up;Indie;Action,40,211,24,87,124,50000-100000,4.79,satazius
204030,Fable - The Lost Chapters,2011-12-19,1,Lionhead Studios,Microsoft Studios,windows,0,Single-player,Action;Adventure;RPG,RPG;Adventure;Action,0,4384,364,494,555,500000-1000000,6.99,fable   the lost chapters
204100,Max Payne 3,2012-05-31,1,Rockstar Studios,Rockstar Games,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action,Action;Third-Person Shooter;Bullet Time,67,21581,4374,464,531,1000000-2000000,14.99,max payne 3
204180,Waveform,2012-03-20,1,Eden Industries,Eden Industries,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Adventure;Indie;Strategy,Indie;Puzzle;Great Soundtrack,65,1778,345,125,160,500000-1000000,0.79,waveform
204220,Snapshot,2012-08-30,1,Retro Affect,Retro Affect,windows;mac;linux,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,36,161,61,89,89,200000-500000,6.99,snapshot
204240,The Bridge,2013-02-22,1,Ty Taylor and Mario Castañeda;The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Puzzle;Indie;Casual,20,2950,374,129,123,500000-1000000,6.99,the bridge
204340,Serious Sam 2,2012-01-31,1,Croteam,Devolver Digital,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Includes level editor,Action;Indie,Action;FPS;Co-op,0,5353,702,233,305,500000-1000000,6.99,serious sam 2
204360,Castle Crashers®,2012-09-26,1,The Behemoth,The Behemoth,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG,Co-op;Action;Adventure,12,50273,2063,1094,306,2000000-5000000,9.99,castle crashers
204530,Infested Planet,2014-03-06,1,Rocket Bear Games,Rocket Bear Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Strategy;Action;Tower Defense,36,1954,127,2974,2974,200000-500000,11.39,infested planet
204560,Confrontation,2012-04-04,1,Cyanide Studio,Focus Home Interactive,windows,0,Single-player;Multi-player;Steam Achievements;Steam Cloud,Action;RPG;Strategy,RPG;Strategy;Action,52,77,228,0,0,200000-500000,6.99,confrontation
204940,Crusader Kings Complete,2012-02-14,1,Paradox Development Studio,Paradox Interactive,windows,0,Single-player;Multi-player,Strategy,Strategy;Grand Strategy;Medieval,0,89,53,60,60,50000-100000,7.99,crusader kings complete
205020,Lumino City,2014-12-02,1,State of Play Games,State of Play Games ,windows;mac,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,0,928,117,29,29,200000-500000,8.99,lumino city
205060,BIT.TRIP CORE,2012-10-02,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Partial Controller Support,Action;Indie,Indie;Action;Rhythm,21,70,51,0,0,50000-100000,6.99,bit trip core
205070,BIT.TRIP VOID,2012-12-19,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Full controller support;Steam Cloud,Action;Indie,Indie;Action;Music,19,58,19,0,0,20000-50000,6.99,bit trip void
205080,BIT.TRIP FATE,2013-07-11,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Music,20,68,41,0,0,20000-50000,6.99,bit trip fate
205090,BIT.TRIP FLUX,2014-06-05,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,20,71,62,0,0,20000-50000,6.99,bit trip flux
205100,Dishonored,2012-10-11,1,Arkane Studios,Bethesda Softworks,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Stealth;First-Person;Action,80,41756,1269,749,565,2000000-5000000,7.99,dishonored
205190,Rocksmith™,2012-10-18,1,Ubisoft - San Francisco,Ubisoft,windows,0,Single-player;Shared/Split Screen;In-App Purchases,Casual;Simulation,Music;Simulation;Education,60,869,80,1371,1371,200000-500000,25.99,rocksmith
205270,3DMark 11,2012-10-02,1,UL,UL,windows,0,Steam Leaderboards,Utilities,Utilities;Benchmark,0,29,7,0,0,20000-50000,14.99,3dmark 11
205530,Gratuitous Tank Battles,2012-05-17,1,Positech Games,Positech Games,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Indie;Simulation;Strategy,Strategy;Indie;Simulation,24,48,43,0,0,50000-100000,6.99,gratuitous tank battles
205610,Port Royale 3,2012-05-04,1,Gaming Minds Studios,Kalypso Media Digital,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Simulation;Strategy,Strategy;Trading;Simulation,64,479,214,64,64,200000-500000,9.99,port royale 3
205650,The Testament of Sherlock Holmes,2012-09-20,1,Frogwares,Frogwares,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure,Adventure;Detective;Point & Click,32,1488,301,1,1,200000-500000,14.99,the testament of sherlock holmes
205690,1000 Amps,2012-02-22,1,Brandon Brizzi,Brandon Brizzi,windows;mac,0,Single-player,Adventure;Indie,Indie;Platformer;Puzzle,10,229,62,0,0,20000-50000,3.99,1000 amps
205730,Insanely Twisted Shadow Planet,2012-04-17,1,Shadow Planet Productions,Microsoft Studios,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Indie,Metroidvania;Adventure;Indie,17,547,83,275,275,200000-500000,11.99,insanely twisted shadow planet
205830,Luxor Evolved,2012-03-01,1,MumboJumbo,MumboJumbo,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;Casual,Casual;Action;Indie,33,196,18,94,94,50000-100000,6.99,luxor evolved
205840,Yesterday,2012-03-22,1,Pendulo Studios,Focus Home Interactive,windows,0,Single-player,Adventure,Adventure;Point & Click;Mystery,0,551,113,126,126,100000-200000,6.99,yesterday
205870,Auditorium,2012-02-28,1,Cipher Prime Studios,Cipher Prime Studios,windows;mac,0,Single-player,Indie;Casual,Indie;Casual;Music,0,202,46,0,0,50000-100000,4.99,auditorium
205950,Jet Set Radio,2012-09-19,1,Blit Software,SEGA,windows,0,Single-player;Full controller support,Action,Great Soundtrack;Classic;Action,30,3398,631,207,136,1000000-2000000,5.59,jet set radio
206020,Avernum 4,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,55,10,0,0,50000-100000,0.0,avernum 4
206040,Avernum 5,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,17,4,0,0,50000-100000,3.99,avernum 5
206060,Avernum 6,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,36,2,0,0,50000-100000,3.99,avernum 6
206190,Gunpoint,2013-06-03,1,Suspicious Developments,Suspicious Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor,Action;Indie;Strategy,Stealth;Puzzle;Indie,42,10384,271,212,242,500000-1000000,6.0,gunpoint
206210,Gotham City Impostors Free to Play,2012-08-30,1,"Monolith Productions, Inc.",Warner Bros. Interactive Entertainment,windows,0,Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Free to Play,Free to Play;Action;Multiplayer,412,9269,1773,120,107,2000000-5000000,0.0,gotham city impostors free to play
